polarity,model,corner,temperature_c,length_um,width_um,vgs_abs_v,vds_abs_v,vbs_abs_v,id_abs_a,vdsat_abs_v,vth_abs_v,gm_s,gds_s,saturated
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.15,0.1,4.70549e-06,0.225065,0.63884,2.65027e-05,1.73016e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.15,0.2,4.18174e-06,0.213211,0.66067,2.60493e-05,1.4425e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.15,0.3,3.69399e-06,0.201471,0.681211,2.54796e-05,1.18175e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.3,0.0,6.77313e-06,0.237427,0.61478,4.27744e-05,3.7999e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.3,0.1,5.92036e-06,0.225558,0.638114,4.07382e-05,3.03081e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.3,0.2,5.14894e-06,0.213714,0.659944,3.85612e-05,2.42245e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.3,0.3,4.45405e-06,0.201983,0.680485,3.62647e-05,1.9419e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.5,0.0,7.21617e-06,0.238068,0.613813,4.70006e-05,1.46044e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.5,0.1,6.28772e-06,0.226214,0.637147,4.43486e-05,1.25175e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.5,0.2,5.45395e-06,0.214385,0.658977,4.16515e-05,1.07184e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.5,0.3,4.70757e-06,0.202665,0.679517,3.89173e-05,9.16736e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.8,0.0,7.55019e-06,0.239028,0.612361,4.9282e-05,8.96127e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.8,0.1,6.57873e-06,0.227198,0.635695,4.64406e-05,7.91455e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.8,0.2,5.70709e-06,0.215389,0.657525,4.35694e-05,6.97626e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,0.8,0.3,4.92739e-06,0.203686,0.678066,4.06751e-05,6.13535e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,1.2,0.0,7.85649e-06,0.240306,0.610426,5.10128e-05,6.73557e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,1.2,0.1,6.85179e-06,0.228509,0.63376,4.80788e-05,6.05384e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,1.2,0.2,5.94999e-06,0.216727,0.65559,4.51189e-05,5.42847e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,1.2,0.3,5.14294e-06,0.205048,0.67613,4.21397e-05,4.85476e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,1.5,0.0,8.0462e-06,0.241264,0.608974,5.19701e-05,5.97997e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,1.5,0.1,7.023e-06,0.22949,0.632308,4.89999e-05,5.41778e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,1.5,0.2,6.10415e-06,0.21773,0.654138,4.60048e-05,4.89632e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,0.9,1.5,0.3,5.28135e-06,0.206068,0.674678,4.29913e-05,4.41257e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.15,0.0,7.96246e-06,0.300463,0.615506,2.68654e-05,3.70932e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.15,0.1,7.38065e-06,0.290314,0.63884,2.67596e-05,3.36688e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.15,0.2,6.83331e-06,0.280053,0.66067,2.6645e-05,3.04426e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.15,0.3,6.31676e-06,0.26976,0.681211,2.65151e-05,2.74009e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.3,0.0,1.14007e-05,0.300903,0.61478,4.87823e-05,1.10354e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.3,0.1,1.04052e-05,0.290766,0.638114,4.78985e-05,9.24967e-06,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.3,0.2,9.47643e-06,0.280516,0.659944,4.68892e-05,7.70837e-06,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.3,0.3,8.61071e-06,0.270233,0.680485,4.57493e-05,6.39943e-06,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.5,0.0,1.24957e-05,0.301488,0.613813,5.80995e-05,2.97215e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.5,0.1,1.1338e-05,0.291368,0.637147,5.61212e-05,2.61652e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.5,0.2,1.02709e-05,0.281133,0.658977,5.41049e-05,2.30451e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.5,0.3,9.28789e-06,0.270865,0.679517,5.20587e-05,2.03101e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.8,0.0,1.31169e-05,0.302366,0.612361,6.16439e-05,1.54871e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.8,0.1,1.18941e-05,0.292269,0.635695,5.94063e-05,1.40539e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.8,0.2,1.07687e-05,0.282057,0.657525,5.71497e-05,1.27494e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,0.8,0.3,9.73348e-06,0.27181,0.678066,5.48821e-05,1.15626e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,1.2,0.0,1.36231e-05,0.303535,0.610426,6.39273e-05,1.07082e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,1.2,0.1,1.23572e-05,0.29347,0.63376,6.15863e-05,9.86973e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,1.2,0.2,1.11923e-05,0.283288,0.65559,5.923e-05,9.0923e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,1.2,0.3,1.01208e-05,0.27307,0.67613,5.68669e-05,8.37175e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,1.5,0.0,1.39191e-05,0.30441,0.608974,6.51007e-05,9.171e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,1.5,0.1,1.2631e-05,0.294369,0.632308,6.27215e-05,8.51106e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,1.5,0.2,1.14454e-05,0.28421,0.654138,6.03278e-05,7.89394e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.0,1.5,0.3,1.03547e-05,0.274013,0.674678,5.79283e-05,7.31711e-07,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.2,0.15,0.0,1.32341e-05,0.413242,0.615506,2.57576e-05,7.08677e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.2,0.15,0.1,1.26382e-05,0.406129,0.63884,2.56974e-05,6.72892e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.2,0.15,0.2,1.20773e-05,0.398742,0.66067,2.56431e-05,6.39014e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.2,0.15,0.3,1.1547e-05,0.391184,0.681211,2.55934e-05,6.06857e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.2,0.3,0.0,2.13932e-05,0.413616,0.61478,4.9912e-05,3.84588e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.2,0.3,0.1,2.03193e-05,0.406513,0.638114,4.97346e-05,3.56817e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.2,0.3,0.2,1.93032e-05,0.399134,0.659944,4.9558e-05,3.30274e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.2,0.3,0.3,1.83395e-05,0.391585,0.680485,4.93783e-05,3.04965e-05,0
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.2,0.5,0.0,2.57377e-05,0.414114,0.613813,7.26312e-05,1.02185e-05,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.2,0.5,0.1,2.42826e-05,0.407023,0.637147,7.16007e-05,9.26305e-06,1
nmos,sky130_fd_pr__nfet_01v8,tt,27.0,0.5,0.42,1.2,0.5,0.2,2.29089e-05,0.399657,0.658977,7.05184e-05,8.39163e-06,1
